ID;Name;Bezirk;Strasse;PLZ;Stadt;Startdatum;Enddatum;Eintritt;URL;Google-Adresse
17;1. Kultur-Winter Markt;Friedrichshain-Kreuzberg;Prinzenstraße 35-38;10969;Berlin;29.11.2012;23.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/friedrichshain-kreuzberg/971617-1328115-berlinlachtkulturweihnachtsmarkt.html;Prinzenstraße 35-38, 10969 Berlin, Deutschland
18;KiezWeihnacht 2012;Friedrichshain-Kreuzberg;Samariterstraße 14;10247;Berlin;15.12.2012;16.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/friedrichshain-kreuzberg/1292692-1328115-kiezweihnacht.html;Samariterstraße 14, 10247 Berlin, Deutschland
19;handmade supermarket: X-mas Edition;Friedrichshain-Kreuzberg;Markthalle IX, Eisenbahnstr. 42;10997;Berlin;02.12.2012;16.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/friedrichshain-kreuzberg/2165473-1328115-handmade-supermarket-xmas-edition.html;Markthalle IX, Eisenbahnstr. 42, 10997 Berlin, Deutschland
20;Finnischer Weihnachtsmarkt;Friedrichshain-Kreuzberg;Finnland-Zentrum, Schleiermacherstraße 24A;10961;Berlin;24.11.2012;25.11.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/friedrichshain-kreuzberg/1325919-1328115-finnischerweihnachtsmarkt.html;Finnland-Zentrum, Schleiermacherstraße 24A, 10961 Berlin, Deutschland
21;Stralauer Weihnachtsmarkt;Friedrichshain-Kreuzberg;Am Speicher 1;10245;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/friedrichshain-kreuzberg/1304413-1328115-stralauerweihnachtsmarkt.html;Am Speicher 1, 10245 Berlin, Deutschland
22;19. Lichtermarkt am Rathaus Lichtenberg;Lichtenberg;Möllendorffstraße 6;10367;Berlin;02.12.2012;02.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/lichtenberg/1304430-1328116-lichtermarktamrathauslichtenberg.html;Möllendorffstraße 6, 10367 Berlin, Deutschland
23;Zille-Weihnachtsmarkt in der Victoriastadt;Lichtenberg;Tuchollaplatz;10317;Berlin;16.12.2012;16.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/lichtenberg/2833544-1328116-zilleweihnachtsmarkt-in-der-victoriastad.html;Tuchollaplatz, 10317 Berlin, Deutschland
24;Mittelalterlicher Weihnachtsmarkt in Karlshorst;Lichtenberg;Ehrenfelsstraße 7;10318;Berlin;07.12.2012;09.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/lichtenberg/1326334-1328116-weihnachtsmarktinkarlshorst.html;Ehrenfelsstraße 7, 10318 Berlin, Deutschland
25;Weihnachtsmarkt im Linden-Center;Lichtenberg;Prerower Platz 1;13051;Berlin;26.11.2012;24.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/lichtenberg/2824542-1328116-weihnachtsmarkt-naturschutzstation-malch.html;Prerower Platz 1, 13051 Berlin, Deutschland
26;Weihnachtsmarkt Naturschutzstation Malchow;Lichtenberg;Naturschutzstation Malchow, Dorfstraße 35;13051;Berlin;02.12.2012;02.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/lichtenberg/2176121-1328116-weihnachtsmarkt-naturschutzstation-malch.html;Naturschutzstation Malchow, Dorfstraße 35, 13051 Berlin, Deutschland
