ID;Name;Bezirk;Strasse;PLZ;Stadt;Startdatum;Enddatum;Eintritt;URL;Google-Adresse
83;Märchenhafter Weihnachtsmarkt im Jagdschloss Grunewald;Steglitz-Zehlendorf;Hüttenweg 100;14193;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/steglitz-zehlendorf/1304439-1328178-m%C3%A4rchenhafterweihnachtsmarktimjagdschlo.html;Hüttenweg 100, 14193 Berlin, Deutschland
84;Advent-Künstlerstation am Bahnhof Mexikoplatz;Steglitz-Zehlendorf;Mexikoplatz 4;14163;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/steglitz-zehlendorf/1001672-1328178-adventk%C3%BCnstlerstationambahnhofmexikopla.html;Mexikoplatz 4, 14163 Berlin, Deutschland
85;Weihnachtsmarkt am Kranoldplatz;Steglitz-Zehlendorf;Ferdinandstraße 34;12209;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/steglitz-zehlendorf/1310767-1328178-weihnachtsmarktamkranoldplatz.html;Ferdinandstraße 34, 12209 Berlin, Deutschland
86;Adventsbasar der Ev. Kirchengemeinde Berlin-Wannsee;Steglitz-Zehlendorf;Wilhelmplatz;14109;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/steglitz-zehlendorf/2805762-1328178-30-weihnachtsmarkt-in-der-lindenkirche.html;Wilhelmplatz, 14109 Berlin, Deutschland
87;Großer Adventsbasar im Gemeindehaus;Steglitz-Zehlendorf;Kirchweg 6;14129;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/steglitz-zehlendorf/2805723-1328178-30-weihnachtsmarkt-in-der-lindenkirche.html;Kirchweg 6, 14129 Berlin, Deutschland
88;Adventsbasar St. Michael;Steglitz-Zehlendorf;Hohenzollernstr. 28;14109;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/steglitz-zehlendorf/2805677-1328178-30-weihnachtsmarkt-in-der-lindenkirche.html;Hohenzollernstr. 28, 14109 Berlin, Deutschland
89;Weihnachtsmarkt auf dem Ferdinandmarkt;Steglitz-Zehlendorf;Ferdinandstr. 34-35;12209;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/steglitz-zehlendorf/2805669-1328178-30-weihnachtsmarkt-in-der-lindenkirche.html;Ferdinandstr. 34-35, 12209 Berlin, Deutschland
90;Adventsbasar der schönen Dinge in der Villa Mittelhof;Steglitz-Zehlendorf;Königstr. 42;14163;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/steglitz-zehlendorf/2832392-1328178-weihnachtsbasar-im-lichthof-des-auswaert.html;Königstr. 42, 14163 Berlin, Deutschland
91;Weihnachtlicher Kunstmarkt;Steglitz-Zehlendorf;Seehofstr. 12;14169;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/steglitz-zehlendorf/2805650-1328178-30-weihnachtsmarkt-in-der-lindenkirche.html;Seehofstr. 12, 14169 Berlin, Deutschland
92;Weihnachtshaus in der Villa Donnersmarck;Steglitz-Zehlendorf;Schädestraße 9;14165;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/steglitz-zehlendorf/1305315-1328178-weihnachtshausindervilladonnersmarck.html;Schädestraße 9, 14165 Berlin, Deutschland
93;Weihnachtsmarkt bei der BVG;Steglitz-Zehlendorf;Schloßstraße 37;12163;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/steglitz-zehlendorf/2221424-1328178-weihnachtsmarkt-bei-der-bvg.html;Schloßstraße 37, 12163 Berlin, Deutschland
94;Weihnachtsmarkt Winterfeldtplatz;Tempelhof-Schöneberg;Gleditschstr. 1;10781;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/tempelhof-schoeneberg/971834-1328179-weihnachtsmarktwinterfeldtplatz.html;Gleditschstr. 1, 10781 Berlin, Deutschland
95;Friedenauer Engelmarkt;Tempelhof-Schöneberg;Lauterstraße 16;12159;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/tempelhof-schoeneberg/1308642-1328179-friedenauerengelsmarkt.html;Lauterstraße 16, 12159 Berlin, Deutschland
96;36. Lichtenrader Lichtermarkt;Tempelhof-Schöneberg;Kronbergstr. 1;12309;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/tempelhof-schoeneberg/1310676-1328179-lichtenraderlichtermarkt.html;Kronbergstr. 1, 12309 Berlin, Deutschland
97;28. Marienfelder Weihnachtsmarkt des TSV Marienfelde;Tempelhof-Schöneberg;Alt-Marienfelde 36;12277;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/tempelhof-schoeneberg/2805896-1328179-weihnachtsmarktaufdemschlossplatzk%C3%B6peni.html;Alt-Marienfelde 36, 12277 Berlin, Deutschland
98;"Weihnachtsmarkt ""Rund um die Dorfkirche"" Marienfelde";Tempelhof-Schöneberg;Evangelische Kirchengemeinde Marienfelde, An der Dorfkirche 5;12277;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/tempelhof-schoeneberg/2111870-1328179-weihnachtsmarkt-rund-um-die-dorfkirche-m.html;Evangelische Kirchengemeinde Marienfelde, An der Dorfkirche 5, 12277 Berlin, Deutschland
99;Weihnachtsmarkt auf Lehmanns Bauernhof;Tempelhof-Schöneberg;Alt-Marienfelde 35;12277;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/tempelhof-schoeneberg/1305912-1328179-weihnachtsmarktauflehmannsbauernhof.html;Alt-Marienfelde 35, 12277 Berlin, Deutschland
100;Weihnachtsmarkt in der Bahnhofstraße Lichtenrade;Tempelhof-Schöneberg;Kronbergstraße 1;12309;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/tempelhof-schoeneberg/1001683-1328179-30weihnachtsmarktinderbahnhofstra%C3%9Felich.html;Kronbergstraße 1, 12309 Berlin, Deutschland
101;Nikolausmarkt vor der Zwölf-Apostel- Kirche;Tempelhof-Schöneberg;An der Apostelkirche 1;10783;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/tempelhof-schoeneberg/1307258-1328179-nikolausmarktvorderzw%C3%B6lfapostelkirche.html;An der Apostelkirche 1, 10783 Berlin, Deutschland
102;Adventsmarkt Kirche zum Heilsbronnen;Tempelhof-Schöneberg;Heilbronner Str. 20;10779;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/tempelhof-schoeneberg/1308619-1328179-adventsmarktkirchezumheilsbronnen.html;Heilbronner Str. 20, 10779 Berlin, Deutschland
103;Weihnachtsmarkt im Natur-Park Schöneberger Südgelände;Tempelhof-Schöneberg;Prellerweg 49;12157;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/tempelhof-schoeneberg/1343758-1328179-weihnachtsmarktimnaturparksch%C3%B6nebergers.html;Prellerweg 49, 12157 Berlin, Deutschland
104;Weihnachtsmarkt in der Späth'schen Baumschule;Treptow-Köpenick;Späthstr. 80;12437;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/treptow-koepenick/1307266-1328180-weihnachtsmarktindersp%C3%A4thschebaumschule.html;Späthstr. 80, 12437 Berlin, Deutschland
105;Weihnachtsmarkt auf dem Schlossplatz Köpenick;Treptow-Köpenick;Grünstraße 11;12555;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/treptow-koepenick/1305665-1328180-weihnachtsmarktaufdemschlossplatzk%C3%B6peni.html;Grünstraße 11, 12555 Berlin, Deutschland
106;3. Altglienicker Adventsmarkt;Treptow-Köpenick;Pfarrkirche Altglienicke, Semmelweisstraße 2 - 6;12524;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/treptow-koepenick/1344394-1328180-altglienickeradventsmarkt.html;Pfarrkirche Altglienicke, Semmelweisstraße 2 - 6, 12524 Berlin, Deutschland
107;Müggelheimer Weihnachtsmarkt;Treptow-Köpenick;Alt-Müggelheim 21;12559;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/treptow-koepenick/2805882-1328180-weihnachtsmarktaufdemschlossplatzk%C3%B6peni.html;Alt-Müggelheim 21, 12559 Berlin, Deutschland
108;Weihnachtlicher Markt in Friedrichshagen;Treptow-Köpenick;Bölschestraße 105;12587;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/treptow-koepenick/1305646-1328180-weihnachtlichermarktinfriedrichshagen.html;Bölschestraße 105, 12587 Berlin, Deutschland
109;Lichtermarkt an der Christuskirche Oberschöneweide;Treptow-Köpenick;Firlstr. 16;12459;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/treptow-koepenick/1308658-1328180-lichtermarktanderchristuskirche.html;Firlstr. 16, 12459 Berlin, Deutschland
110;17. Alternativer Weihnachtsmarkt Friedrichshagen;Treptow-Köpenick;Schöneicher Str. 2;12587;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/treptow-koepenick/971949-1328180-weihnachtsmarktfriedrichshagen.html;Schöneicher Str. 2, 12587 Berlin, Deutschland
